ts,node,pressure_psi,flow_lps,consumption_lps,tank_level_pct,census_value
2026-02-12T00:00,Source,62,60.81,3.29,90.67,0
2026-02-12T00:00,HOSP,62.61,37.1,3.24,78.82,700
2026-02-12T00:00,FIRE,42.62,44.15,3.33,78.24,700
2026-02-12T00:00,SCHOOL,63.31,38.78,5.89,78.83,620
2026-02-12T00:00,RES_A,36.71,20.52,2.68,79.57,500
2026-02-12T00:00,RES_B,68.21,23.62,2.05,79.02,500
2026-02-12T00:00,RES,61.66,38.49,1.4,79.33,500
2026-02-12T00:00,IND,62.46,54.51,4.96,81.57,620
2026-02-12T00:00,EMERG,48.61,55.66,6.64,79.84,700
2026-02-12T00:00,MARKET,36.34,42.88,5.63,80.37,620
2026-02-12T01:00,Source,62,49.81,1.89,88.34,0
2026-02-12T01:00,HOSP,53.2,10.61,5.21,79.12,700
2026-02-12T01:00,FIRE,45.67,42.19,1.72,77.07,700
2026-02-12T01:00,SCHOOL,67.49,62.68,1.06,80,620
2026-02-12T01:00,RES_A,61.36,13.17,5.75,79.49,500
2026-02-12T01:00,RES_B,36.11,11.45,2,79.48,500
2026-02-12T01:00,RES,50.36,35.09,5.31,80.05,500
2026-02-12T01:00,IND,57.05,43.73,5.74,78.43,620
2026-02-12T01:00,EMERG,62.72,37.41,6.04,79.61,700
2026-02-12T01:00,MARKET,51.54,41.39,1.51,79.95,620
2026-02-12T02:00,Source,62,23.59,3.08,86.7,0
2026-02-12T02:00,HOSP,56.34,53.82,2.64,75.99,700
2026-02-12T02:00,FIRE,46.5,28.17,4.51,75.36,700
2026-02-12T02:00,SCHOOL,40.26,62.75,3.23,76.27,620
2026-02-12T02:00,RES_A,43.58,35.29,1.23,77.87,500
2026-02-12T02:00,RES_B,53.85,37.48,4.01,77.34,500
2026-02-12T02:00,RES,66.87,39.88,1.58,75.16,500
2026-02-12T02:00,IND,38.01,22.05,1.61,74.48,620
2026-02-12T02:00,EMERG,71.65,45.94,3.46,76.63,700
2026-02-12T02:00,MARKET,73.55,38.29,1.01,77.48,620
2026-02-12T03:00,Source,62,48.88,3.74,85.62,0
2026-02-12T03:00,HOSP,65.13,15.23,7.26,75.84,700
2026-02-12T03:00,FIRE,60.28,33.47,3.68,76.21,700
2026-02-12T03:00,SCHOOL,41.53,14.79,0.93,74.92,620
2026-02-12T03:00,RES_A,43.64,46.66,4.24,76.09,500
2026-02-12T03:00,RES_B,41.47,14.37,2.8,74.1,500
2026-02-12T03:00,RES,68.1,49.45,4.2,75.43,500
2026-02-12T03:00,IND,70.16,26.37,4.61,75.17,620
2026-02-12T03:00,EMERG,59.58,55.29,4.7,72.86,700
2026-02-12T03:00,MARKET,42.71,60.74,4.25,72.74,620
2026-02-12T04:00,Source,62,38.08,3.98,85.91,0
2026-02-12T04:00,HOSP,72.86,12.79,4.05,73.62,700
2026-02-12T04:00,FIRE,41.83,31.82,5.18,71.81,700
2026-02-12T04:00,SCHOOL,73.73,55.54,3.69,71.94,620
2026-02-12T04:00,RES_A,51.93,14.92,2.28,71.83,500
2026-02-12T04:00,RES_B,39.58,52.17,5.39,73.48,500
2026-02-12T04:00,RES,68.67,40.37,5.4,74.35,500
2026-02-12T04:00,IND,50.35,15.32,5.18,73.78,620
2026-02-12T04:00,EMERG,42.91,58.07,5.32,72.47,700
2026-02-12T04:00,MARKET,50.56,52.42,3.82,73.95,620
2026-02-12T05:00,Source,62,8.25,5.28,82.35,0
2026-02-12T05:00,HOSP,36.14,8.69,4.86,71.46,700
2026-02-12T05:00,FIRE,60.15,18.8,1.62,69.17,700
2026-02-12T05:00,SCHOOL,60.85,19.43,2.02,70.47,620
2026-02-12T05:00,RES_A,67.85,23.68,2.29,71.95,500
2026-02-12T05:00,RES_B,48.51,38.83,2.34,70.82,500
